,StockExchange,code,ISIN
473,WSE,MFO,ISIN PLMFO0000013
476,WSE,MILKILAND,ISIN NL0009508712
477,WSE,MILLENNIUM,ISIN PLBIG0000016
479,WSE,MIRACULUM,ISIN PLKLSTN00017
480,WSE,MIRBUD,ISIN PLMRBUD00015
484,WSE,MLPGROUP,ISIN PLMLPGR00017
485,WSE,MLSYSTEM,ISIN PLMLSTM00015
488,WSE,MOBRUK,ISIN PLMOBRK00013
489,WSE,MOJ,ISIN PLMOJ0000015
490,WSE,MOL,ISIN HU0000153937
491,WSE,MONNARI,ISIN PLMNRTR00012
492,WSE,MORIZON,ISIN PLMORZN00016
496,WSE,MOSTALPLC,ISIN PLMSTPL00018
497,WSE,MOSTALWAR,ISIN PLMSTWS00019
498,WSE,MOSTALZAB,ISIN PLMSTZB00018
502,WSE,MUZA,ISIN PLMUZA000019
503,WSE,MWIG40,
504,WSE,MWIG40DVP,
505,WSE,MWIG40TR,
506,WSE,MWTRADE,ISIN PLMWTRD00013
508,WSE,NANOGROUP,ISIN PLNNGRP00011
509,WSE,NCINDEX,
511,WSE,NETIA,ISIN PLNETIA00014
514,WSE,NEUCA,ISIN PLTRFRM00018
515,WSE,NEWAG,ISIN PLNEWAG00012
517,WSE,NEWWORLDR,ISIN GB00B42CTW68
523,WSE,NORTCOAST,ISIN PLNRTHC00014
525,WSE,NOVATURAS,ISIN LT0000131872
526,WSE,NOVITA,ISIN PLNVITA00018
528,WSE,NOWAGALA,ISIN PLCRMNG00029
529,WSE,NTTSYSTEM,ISIN PLNTSYS00013
530,WSE,OAT,ISIN PLONCTH00011
533,WSE,ODLEWNIE,ISIN PLODLPL00013
534,WSE,OEX,ISIN PLTELL000023
540,WSE,OPENFIN,ISIN PLOPNFN00010
543,WSE,OPONEO_PL,ISIN PLOPNPL00013
544,WSE,OPTEAM,ISIN PLOPTEM00012
548,WSE,ORANGEPL,ISIN PLTLKPL00017
549,WSE,ORBIS,ISIN PLORBIS00014
550,WSE,ORCOGROUP,ISIN LU0122624777
552,WSE,ORION,ISIN PLORION00018
553,WSE,ORZBIALY,ISIN PLORZBL00013
555,WSE,OTLOG,ISIN PLODRTS00017
556,WSE,OTMUCHOW,ISIN PLZPCOT00018
557,WSE,OVOSTAR,ISIN NL0009805613
559,WSE,PAMAPOL,ISIN PLPMPOL00031
560,WSE,PANOVA,ISIN PLPANVA00013
561,WSE,PATENTUS,ISIN PLPTNTS00019
563,WSE,PBG,ISIN PLPBG0000029
565,WSE,PBKM,ISIN PLPBKM000012
